Gene to number of 16s copies	STAS	SWHAS104
0910185A	0	0
1112175A	0	0
1405331A	0	0
1411197A	0	0
1616230A	0	0
1703286A	0	0
1708210A	0	0
1815179A	0	0
1BLC	0	0
1BUL	0	0
1BZA	0	0
1CIA	0	0
1QCA	0	0
1VIE	0	0
1XAT	0	0
A0KQI1	0	0
A0RD31	0	0
A15097.gene.p01	0	0
A1A9B7	0	0
A1A9U9	0	0
A1A9W0	0	0
A1ABK4	0	0
A1ADA7	0	0
A1AFX9	0	0
A1AHP3	0	0
A4VLM0	0	0
A7FE74	0	0
A7FMC1	0	0
A7ZKF6	0	0
A7ZMC9	0	0
A7ZP73	0	0
A7ZTR5	0	0
A7ZW03	0	0
A7ZZ10	0	0
A7ZZ23	0	0
A8A0L0	0	0
A8A2C2	0	0
A8A4L2	0	0
A8YZV4	0	0
A9HXK3	0	0
A9VRT9	0	0
AAA16158	0	0
AAA16406	0	0
AAA19915	0	0
AAA21532	0	0
AAA22075	0	0
AAA25465	0	0
AAA25979	0	0
AAA26087	0	0
AAA26492	0	0
AAA26700	0	0
AAA26779	0	0
AAA27431	0	0
AAA48273	0	0
AAA50325	0	0
AAA62061	0	0
AAA65958	0	0
AAA67509	0	0
AAA83416	0	0
AAA88337	0	0
AAA91586	0	0
AAA92254	0	0
AAA98228	0	0
AAA98259	0	0
AAB00446	0	0
AAB03644	0	0
AAB05246	0	0
AAB05628	0	0
AAB08925	0	0
AAB17875	0	0
AAB19684	0	0
AAB20441	0	0
AAB20442	0	0
AAB22638	0	0
AAB23456	0	0
AAB34257	0	0
AAB37395	0	0
AAB47993	0	0
AAB51122	0	0
AAB51440	0	0
AAB58160	0	0
AAB58161	0	0
AAC15775	0	0
AAC21590	0	0
AAC22099	0	0
AAC27754	0	0
AAC32186	0	0
AAC33146	0	0
AAC37034	0	0
AAC43174	0	0
AAC44147	0	0
AAC45547	0	0
AAC45552	0	0
AAC60780	0	0
AAC60781	0	0
AAC64521	0	0
AAC64522	0	0
AAC73966	0	0
AAC75243	0	0
AAC75315	0	0
AAC76696	0	0
AAC77110	0	0
AAC77497	0	0
AAC78336	0	0
AAC95456	0	0
AAD04032	0	0
AAD21213	0.0130438402377331	0
AAD41881	0	0
AAD42180	0	0
AAD42181	0	0
AAD42182	0	0
AAD42183	0	0
AAD42184	0	0
AAD42185	0	0
AAD43097	0	0
AAD51056	0	0
AAD51058	0	0
AAD51059	0	0
AAD51060	0	0
AAD51061	0	0
AAD51344	0	0
AAD51345	0	0
AAD51346	0	0
AAF14523	0	0
AAF17263	0	0
AAF17264	0	0
AAF17266	0	0
AAF17267	0	0
AAF17268	0	0
AAF17269	0	0
AAF17270	0	0
AAF24091	0	0
AAF24171	0	0
AAF27723	0	0
AAF27725	0	0
AAF71278	0	0
AAF71279	0	0
AAF71281	0	0
AAF72358	0	0
AAF72359	0	0
AAF72361	0	0
AAF72362	0	0
AAF72363	0	0
AAF72364	0	0
AAF72530	0	0
AAF86692	0	0.0113832926332926
AAG05407	0	0
AAG07763	0	0
AAG08983	0	0
AAG13410	0	0
AAG14406	0	0
AAG21695	0	0
AAG34685	0	0
AAG34691	0	0
AAG45714	0	0
AAK08976	0	0
AAK12088	0	0
AAK14791	0	0.0170749389499389
AAK15701	0	0
AAK17952	0	0
AAK28907	0	0
AAK32688	0	0
AAK38457	0	0
AAK49460	0	0
AAK51920	0	0
AAK53751	0	0
AAK53979	0	0
AAK53982	0	0
AAK58490	0	0
AAK58492	0	0
AAK58493	0	0
AAK62562	0	0
AAK63223	0	0
AAK64454	0	0
AAK69027	0	0
AAK69613	0	0
AAK91782	0	0
AAL05554	0	0
AAL05857	0	0
AAL09826	0	0
AAL12234	0	0
AAL14439	0	0
AAL14440	0	0
AAL14441	0	0
AAL30847	0	0
AAL40899	0	0
AAL51021	0	0
AAL57765	0	0
AAL73823	0	0
AAL75564	0	0
AAL77081	0	0
AAL91930	0	0
AAL92527	0	0
AAM11664	0	0
AAM11666	0	0
AAM11668	0	0
AAM11670	0	0
AAM13572	0	0
AAM46773	0	0
AAM48116	0	0
AAM48117	0	0
AAM48121	0	0
AAM48122	0	0
AAM48124	0	0
AAM48125	0	0
